,SWC Run Length,# Splits,# Merges,% Split Edges,% Omit Edges,% Merged Edges,ERL,Normalized ERL,Edge Accuracy,Split Rate,Merge Rate
00001,2242.0755203631707,5.0,0,0.0,92.39802224969098,0.0,59.04,0.0263,7.6,23.16,
00002,728.2856074678236,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,,
00003,900.2149650832275,21.0,0,0.7451564828614009,42.622950819672134,0.0,61.71,0.0686,56.63,13.41,
00004,1482.4396212337851,27.0,0,0.08968609865470852,58.83408071748879,0.0,24.14,0.0163,41.08,15.57,
00005,500.80322595857484,7.0,0,0.0,70.84468664850137,0.0,19.67,0.0393,29.16,14.14,
00006,2993.1387986861214,7.0,0,0.04672897196261682,88.17757009345794,0.0,74.53,0.0249,11.78,34.45,
00007,538.4687314564719,13.0,0,0.0,62.21662468513854,0.0,12.16,0.0226,37.78,8.81,
00008,365.9014200101806,0.0,0,0.0,96.16858237547893,0.0,10.11,0.0276,3.83,,
00009,952.4636997243097,6.0,0,0.0,86.51515151515152,0.0,16.9,0.0177,13.48,14.91,
00011,9488.719932577422,19.0,4,0.0,5.014749262536873,0.0,6560.09,0.6914,94.99,376.7,1789.34
00012,1432.922303164221,6.0,0,0.0,27.18808193668529,0.0,632.38,0.4413,72.81,140.8,
00013,448.8602653725816,4.0,0,0.0,9.451219512195122,0.0,103.47,0.2305,90.55,77.12,
00014,1104.7035969328042,0.0,1,0.0,0.6180469715698393,99.25834363411619,0.0,0.0,0.12,,875.1
00015,1971.4933518775204,2.0,0,0.0,91.3588850174216,0.0,72.7,0.0369,8.64,63.98,
00016,528.2226631521097,4.0,0,0.0,87.97953964194373,0.0,8.66,0.0164,12.02,9.73,
00017,728.2766440235597,0.0,0,0.0,0.9823182711198428,0.0,415.34,0.5703,99.02,,
00018,692.4728145801251,7.0,0,0.0,69.3050193050193,0.0,40.69,0.0588,30.69,22.88,
00019,1581.986001055386,11.0,0,0.0,90.22298456260721,0.0,8.17,0.0052,9.78,7.95,
00020,172.80501824384348,1.0,0,0.0,23.140495867768596,72.72727272727273,0.06,0.0003,4.13,112.15,
00021,5884.4746253353,17.0,0,0.0,83.71984071211057,10.096041227453735,6.54,0.0011,6.18,40.74,
00022,692.8858942317136,0.0,0,0.0,98.19277108433735,0.0,7.8,0.0113,1.81,,
00023,1102.182453485737,0.0,0,0.0,99.00990099009901,0.0,7.56,0.0069,0.99,,
00024,430.1274876608188,8.0,0,0.0,58.62068965517241,0.0,19.74,0.0459,41.38,16.03,
00025,316.005497179573,3.0,0,0.0,48.917748917748916,0.0,47.6,0.1506,51.08,42.07,
00026,925.1718762032705,0.0,0,0.0,0.0,0.0,771.69,0.8341,100.0,,
00027,623.6596467739982,6.0,0,0.0,81.86046511627907,0.0,12.48,0.02,18.14,12.49,
00028,256.1715693871738,2.0,0,0.0,36.458333333333336,0.0,66.6,0.26,63.54,63.58,
Neuron 17,616.4126589616945,6.0,0,0.0,21.286031042128602,51.44124168514412,16.4,0.0266,27.27,51.44,
