,SWC Run Length,# Splits,# Merges,% Split Edges,% Omit Edges,% Merged Edges,ERL,Normalized ERL,Edge Accuracy,Split Rate,Merge Rate
00001,505.0058017299808,6.0,0,0.0,68.1462140992167,0.0,20.22,0.04,31.85,16.05,
00002,744.5104088611745,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,,
00003,1283.6895774759469,11.0,0,0.0,10.231023102310232,0.0,305.13,0.2377,89.77,79.91,
00004,268.81544315531636,0.0,0,0.0,0.0,0.0,212.91,0.792,100.0,,
00005,180.3389699331986,0.0,0,0.0,48.1203007518797,0.0,68.07,0.3775,51.88,,
00006,2812.6633633281517,0.0,0,0.0,0.1422475106685633,0.0,2258.21,0.8029,99.86,,
00007,338.9624609869613,0.0,0,0.0,6.722689075630252,0.0,250.72,0.7397,93.28,,
00009,1319.9398736194619,0.0,1,0.0,0.2958579881656805,0.0,1042.24,0.7896,99.7,,1042.24
00010,1574.121398316062,24.0,0,0.0,74.21543681085666,0.0,14.76,0.0094,25.78,11.01,
00011,322.5645572276972,0.0,0,0.0,2.1367521367521367,0.0,261.57,0.8109,97.86,,
00012,77.15820801797888,0.0,0,0.0,0.0,0.0,59.18,0.767,100.0,,
00013,3310.626869711019,0.0,3,0.0,0.561122244488978,99.39879759519039,0.0,0.0,0.04,,869.18
