SWC Name,SWC Run Length,# Splits,# Merges,Split Rate,Merge Rate,% Split Edges,% Omit Edges,% Merged Edges,Edge Accuracy,ERL,Normalized ERL
00001,100.06,0,0,,,0.0,0.0,0.0,100.0,76.13,0.7608
00002,158.58,0,0,,,0.0,0.0,0.0,100.0,120.74,0.7614
00003,720.19,0,0,,,0.0,0.0,0.0,100.0,606.75,0.8425
00004,778.28,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
00005,1088.91,2,0,395.37364106169537,,0.12,8.28,20.24,71.48,582.28,0.5347
00006,939.53,0,0,,,0.0,0.0,0.0,100.0,738.58,0.7861
00007,1359.64,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
00008,212.49,0,0,,,0.0,0.0,0.0,100.0,175.25,0.8247
00009,1253.31,4,0,200.99381060029845,,0.0,18.64,3.18,78.18,547.38,0.4367
00010,209.4,1,0,154.51356206007245,,0.0,4.03,0.0,95.97,117.26,0.56
00011,2641.12,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
00012,906.23,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
00013,14998.62,0,2,,6190.66970151871,0.0,0.0,100.0,0.0,0.0,0.0
00014,1398.24,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
00015,425.23,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
00016,2094.87,0,0,,,0.0,0.0,0.0,100.0,1675.25,0.7997
00017,17095.9,0,1,,14076.004892566101,0.0,0.0,100.0,0.0,0.0,0.0
00018,584.88,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
00019,2589.21,4,0,155.02851893963958,,0.0,69.28,0.48,30.24,403.16,0.1557
00020,863.92,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
00021,1550.95,1,0,429.3321261562236,,0.0,65.32,5.78,28.9,350.37,0.2259
00022,65.27,0,0,,,0.0,0.0,0.0,100.0,54.63,0.8369
00023,485.98,0,0,,,0.0,0.0,0.0,100.0,399.6,0.8223
00024,412.9,0,0,,,0.0,0.0,0.0,100.0,322.26,0.7805
00025,164.7,0,0,,,0.0,0.0,0.0,100.0,135.75,0.8242
00026,361.35,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
00027,329.69,1,0,158.23564034050557,,0.0,43.57,6.22,50.21,141.23,0.4284
00028,521.5,1,0,400.6352694296548,,0.0,1.3,0.0,98.7,369.83,0.7092
00029,152.0,0,0,,,0.0,100.0,0.0,0.0,0.0,0.0
00030,137.65,2,0,47.443338026773645,,0.0,10.64,30.85,58.51,34.2,0.2484
00031,153.75,0,0,,,0.0,100.0,0.0,0.0,0.0,0.0
00032,1986.75,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
00033,2697.35,2,0,788.3880733789974,,0.0,29.94,1.8,68.26,1327.53,0.4922
00034,932.39,0,0,,,0.0,0.0,100.0,0.0,0.0,0.0
