,SWC Run Length,# Splits,# Merges,% Split Edges,% Omit Edges,% Merged Edges,ERL,Normalized ERL,Edge Accuracy,Split Rate,Merge Rate
00001,505.0058017299808,6.0,0,0.0,51.697127937336816,0.0,46.31,0.0917,48.3,30.17,
00002,744.5104088611745,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,,
00003,1283.6895774759469,11.0,0,0.0,9.79097909790979,0.0,306.01,0.2384,90.21,81.71,
00004,268.81544315531636,0.0,0,0.0,0.0,0.0,212.91,0.792,100.0,,
00005,180.3389699331986,0.0,0,0.0,0.0,0.0,141.07,0.7822,100.0,,
00006,2812.6633633281517,0.0,0,0.0,0.0,0.0,2263.41,0.8047,100.0,,
00007,338.9624609869613,0.0,0,0.0,0.0,0.0,272.7,0.8045,100.0,,
00009,1319.9398736194619,0.0,1,0.0,0.0,0.0,1048.14,0.7941,100.0,,1048.14
00010,1574.121398316062,24.0,0,0.0,66.24257845631891,0.0,35.73,0.0227,33.76,15.27,
00011,322.5645572276972,0.0,0,0.0,0.0,0.0,269.42,0.8352,100.0,,
00012,77.15820801797888,0.0,0,0.0,0.0,0.0,59.18,0.767,100.0,,
00013,3310.626869711019,0.0,3,0.0,0.0,100.0,0.0,0.0,0.0,,875.2
